Source,Type_Code,Inventaire,BMS,latitude,longitude
BBS_FEV2021',A,Presentiel,OUI,47.3118013,-61.9377477
BBS_FEV2021',A,Presentiel,OUI,47.312884,-71.001452
BBS_FEV2021',A,Presentiel,OUI,47.314409,-71.160239
BBS_FEV2021',A,Presentiel,OUI,47.316131,-70.727288
BBS_FEV2021',A,Presentiel,OUI,47.31614,-71.212639
BBS_FEV2021',A,Presentiel,OUI,47.317262,-70.987917
BBS_FEV2021',A,Presentiel,OUI,47.318152,-70.996817
BBS_FEV2021',A,Presentiel,OUI,47.3189789,-61.9372649
BBS_FEV2021',A,Presentiel,OUI,47.3198202,-71.1537664
BBS_FEV2021',A,Presentiel,OUI,47.321527,-70.733579
BBS_FEV2021',A,Presentiel,OUI,47.322639,-71.21657
BBS_FEV2021',A,Presentiel,OUI,47.324039,-71.22392
BBS_FEV2021',A,Presentiel,OUI,47.324352,-70.7420889
BBS_FEV2021',A,Presentiel,OUI,47.324611,-70.983744
BBS_FEV2021',A,Presentiel,OUI,47.32467,-71.146249
BBS_FEV2021',A,Presentiel,OUI,47.3258293,-61.936589
BBS_FEV2021',A,Presentiel,OUI,47.327318,-70.751558
BBS_FEV2021',A,Presentiel,OUI,47.32901,-71.230009
BBS_FEV2021',A,Presentiel,OUI,47.330609,-71.140529
BBS_FEV2021',A,Presentiel,OUI,47.330882,-70.978809
BBS_FEV2021',A,Presentiel,OUI,47.331144,-70.760229
BBS_FEV2021',A,Presentiel,OUI,47.332819,-71.07826
BBS_FEV2021',A,Presentiel,OUI,47.3328459,-61.9348885
BBS_FEV2021',A,Presentiel,OUI,47.333729,-71.23478
BBS_FEV2021',A,Presentiel,OUI,47.334799,-71.070699
BBS_FEV2021',A,Presentiel,OUI,47.33493,-71.087809
BBS_FEV2021',A,Presentiel,OUI,47.336249,-71.13513
BBS_FEV2021',A,Presentiel,OUI,47.337579,-70.762479
BBS_FEV2021',A,Presentiel,OUI,47.337899,-70.974083
BBS_FEV2021',A,Presentiel,OUI,47.339099,-71.09467
BBS_FEV2021',A,Presentiel,OUI,47.3396802,-61.9305755
BBS_FEV2021',A,Presentiel,OUI,47.34082,-71.23471
BBS_FEV2021',A,Presentiel,OUI,47.341099,-71.04965
BBS_FEV2021',A,Presentiel,OUI,47.34159,-71.068369
BBS_FEV2021',A,Presentiel,OUI,47.34256,-71.13127
BBS_FEV2021',A,Presentiel,OUI,47.343369,-71.058869
BBS_FEV2021',A,Presentiel,OUI,47.343885,-70.968756
BBS_FEV2021',A,Presentiel,OUI,47.34389,-71.04081
BBS_FEV2021',A,Presentiel,OUI,47.3441112,-61.9225342
BBS_FEV2021',A,Presentiel,OUI,47.3447238,-70.763128
BBS_FEV2021',A,Presentiel,OUI,47.345559,-71.12458
BBS_FEV2021',A,Presentiel,OUI,47.345599,-71.097219
BBS_FEV2021',A,Presentiel,OUI,47.34654,-71.240429
BBS_FEV2021',A,Presentiel,OUI,47.3495507,-61.9157321
BBS_FEV2021',A,Presentiel,OUI,47.34981,-71.249889
BBS_FEV2021',A,Presentiel,OUI,47.349851,-70.962318
BBS_FEV2021',A,Presentiel,OUI,47.350309,-71.28465
BBS_FEV2021',A,Presentiel,OUI,47.350869,-71.099799
BBS_FEV2021',A,Presentiel,OUI,47.3511,-71.11779
BBS_FEV2021',A,Presentiel,OUI,47.3511743,-70.7651198
BBS_FEV2021',A,Presentiel,OUI,47.352649,-71.265019
BBS_FEV2021',A,Presentiel,OUI,47.35283,-71.27595
BBS_FEV2021',A,Presentiel,OUI,47.354339,-71.256569
BBS_FEV2021',A,Presentiel,OUI,47.3548,-71.313029
BBS_FEV2021',A,Presentiel,OUI,47.35512,-71.2924
BBS_FEV2021',A,Presentiel,OUI,47.35555,-71.303109
BBS_FEV2021',A,Presentiel,OUI,47.356218,-70.957067
BBS_FEV2021',A,Presentiel,OUI,47.35669,-71.271359
BBS_FEV2021',A,Presentiel,OUI,47.3568034,-61.9174112
BBS_FEV2021',A,Presentiel,OUI,47.357439,-71.115829
BBS_FEV2021',A,Presentiel,OUI,47.358469,-71.10444
BBS_FEV2021',A,Presentiel,OUI,47.358889,-71.34301
BBS_FEV2021',A,Presentiel,OUI,47.35983,-71.33497
BBS_FEV2021',A,Presentiel,OUI,47.361329,-71.317399
BBS_FEV2021',A,Presentiel,OUI,47.361336,-70.953784
BBS_FEV2021',A,Presentiel,OUI,47.36255,-71.326279
BBS_FEV2021',A,Presentiel,OUI,47.3633587,-61.9155122
BBS_FEV2021',A,Presentiel,OUI,47.3636,-71.111039
BBS_FEV2021',A,Presentiel,OUI,47.36383,-71.350529
BBS_FEV2021',A,Presentiel,OUI,47.369179,-70.949353
BBS_FEV2021',A,Presentiel,OUI,47.370229,-61.914281
BBS_FEV2021',A,Presentiel,OUI,47.3736101,-61.9079108
BBS_FEV2021',A,Presentiel,OUI,47.376914,-70.947153
BBS_FEV2021',A,Presentiel,OUI,47.3808789,-61.9083185
BBS_FEV2021',A,Presentiel,OUI,47.383169,-70.951793
BBS_FEV2021',A,Presentiel,OUI,47.3858196,-61.9018275
BBS_FEV2021',A,Presentiel,OUI,47.39233,-61.90239
